Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HC,AC,HF,AF,Path,Season,HP1,HP2,HP3,HP4,HP5,HP6,HP7,HP8,HP9,HP10,HP11,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,HPG,HPD,HPF,HPM,APD,APG,APF,APM
19-Aug-00,Charlton,Man City,4,0,H,2,0,H,20043,Rob Harris,17,8,14,4,6,6,13,12,.data/EPL/2000-01/3287.json,0,1848,1517,1529,111,1520,1168,1522,1851,1528,1850,397,732,1927,1682,938,1936,1935,916,767,290,1179,714,1,4,2,4,5,1,2,3
19-Aug-00,Chelsea,West Ham,4,2,H,1,0,H,34914,Graham Barber,17,12,10,5,7,7,19,14,.data/EPL/2000-01/3288.json,0,1350,1533,1989,107,1677,1862,1355,1151,1413,1149,1145,1451,1630,1080,293,800,1657,395,11,1634,1164,1805,1,4,2,4,4,1,3,3
19-Aug-00,Coventry,Middlesbrough,1,3,A,1,1,D,20624,Barry Knight,6,16,3,9,8,4,15,21,.data/EPL/2000-01/3289.json,0,1869,1691,1030,1687,497,860,1358,75,1156,1155,1206,1951,937,320,1218,349,931,488,326,1952,1070,1949,1,5,2,3,4,1,3,3
19-Aug-00,Derby,Southampton,2,2,D,1,2,A,27223,Andy D'Urso,6,13,4,6,5,8,11,13,.data/EPL/2000-01/3290.json,0,1877,1696,1161,1873,1426,1391,1392,1874,1698,1700,1177,704,1249,958,1455,1747,1246,1621,528,1458,812,903,1,3,1,6,4,1,2,4
19-Aug-00,Leeds,Everton,2,0,H,2,0,H,40010,Dermot Gallagher,17,12,8,6,6,4,21,20,.data/EPL/2000-01/3291.json,0,1270,146,1706,1560,694,886,1412,1190,1045,1909,1565,181,416,720,1558,1884,339,1433,1402,401,842,1185,1,4,3,3,5,1,2,3
19-Aug-00,Leicester,Aston Villa,0,0,D,0,0,D,21455,Mike Riley,5,5,4,3,5,4,12,12,.data/EPL/2000-01/3292.json,0,453,627,706,1014,734,1333,684,1199,519,670,1196,72,406,1308,338,1083,252,848,1361,1839,23,153,1,4,2,4,3,1,1,6
19-Aug-00,Liverpool,Bradford,1,0,H,0,0,D,44183,Paul Durkin,16,3,10,2,6,1,8,8,.data/EPL/2000-01/3293.json,0,1709,1595,569,1710,1711,1575,1335,1920,908,1208,1571,125,1670,953,108,1672,328,954,228,1664,1668,1236,1,4,2,4,5,1,1,4
19-Aug-00,Sunderland,Arsenal,1,0,H,0,0,D,46346,Steve Dunn,8,14,2,7,2,9,10,21,.data/EPL/2000-01/3294.json,0,1253,1255,1752,304,1757,1751,424,1758,1971,1762,1768,3,13,1297,19,14,1651,1,1132,1502,1659,1497,1,5,2,3,5,1,2,3
19-Aug-00,Tottenham,Ipswich,3,1,H,2,1,H,36148,Alan Wiley,20,15,6,5,3,4,14,13,.data/EPL/2000-01/3295.json,0,1282,973,1277,566,1628,557,776,78,1978,587,583,878,1890,757,1903,1896,884,1991,999,1898,960,1371,1,4,2,4,5,1,3,2
20-Aug-00,Man United,Newcastle,2,0,H,1,0,H,67477,Steve Lodge,19,9,9,6,7,1,7,13,.data/EPL/2000-01/3296.json,0,407,725,321,1210,336,1940,335,576,921,1580,331,590,851,1960,1735,89,239,721,1436,1284,1736,1230,1,4,2,4,5,1,3,2
