HP1,HP2,HP3,HP4,HP5,HP6,HP7,HP8,HP9,HP10,HP11,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,HPG,HPD,HPF,HPM,APD,APG,APF,APM
1848,1517,1529,111,1520,1168,1522,1851,1528,1850,397.0,732,1927,1682,938,1936,1935,916,767,290,1179,714.0,1,4,2.0,4,5,1,2.0,3
1350,1533,1989,107,1677,1862,1355,1151,1413,1149,1145.0,1451,1630,1080,293,800,1657,395,11,1634,1164,1805.0,1,4,2.0,4,4,1,3.0,3
1869,1691,1030,1687,497,860,1358,75,1156,1155,1206.0,1951,937,320,1218,349,931,488,326,1952,1070,1949.0,1,5,2.0,3,4,1,3.0,3
1877,1696,1161,1873,1426,1391,1392,1874,1698,1700,1177.0,704,1249,958,1455,1747,1246,1621,528,1458,812,903.0,1,3,1.0,6,4,1,2.0,4
1270,146,1706,1560,694,886,1412,1190,1045,1909,1565.0,181,416,720,1558,1884,339,1433,1402,401,842,1185.0,1,4,3.0,3,5,1,2.0,3
453,627,706,1014,734,1333,684,1199,519,670,1196.0,72,406,1308,338,1083,252,848,1361,1839,23,153.0,1,4,2.0,4,3,1,1.0,6
1709,1595,569,1710,1711,1575,1335,1920,908,1208,1571.0,125,1670,953,108,1672,328,954,228,1664,1668,1236.0,1,4,2.0,4,5,1,1.0,4
1253,1255,1752,304,1757,1751,424,1758,1971,1762,1768.0,3,13,1297,19,14,1651,1,1132,1502,1659,1497.0,1,5,2.0,3,5,1,2.0,3
1282,973,1277,566,1628,557,776,78,1978,587,583.0,878,1890,757,1903,1896,884,1991,999,1898,960,1371.0,1,4,2.0,4,5,1,3.0,2
407,725,321,1210,336,1940,335,576,921,1580,331.0,590,851,1960,1735,89,239,721,1436,1284,1736,1230.0,1,4,2.0,4,5,1,3.0,2
3,991,1831,1650,14,1651,1,1132,1297,1835,1659.0,915,1709,1595,1710,569,1335,1920,238,908,1711,1571.0,1,6,2.0,2,5,1,1.0,4
125,1670,953,1672,328,108,954,1240,1664,228,1236.0,1350,1533,1151,1027,107,1445,1677,1413,1355,1149,1145.0,1,5,2.0,3,4,1,2.0,4
878,1890,1898,1896,757,1903,1991,1894,1899,960,1371.0,407,59,1217,321,336,921,922,1940,335,1580,331.0,1,5,2.0,3,3,1,2.0,5
320,1075,1218,349,931,488,1952,1070,1949,1950,1587.0,1277,973,1978,1282,566,1628,557,776,78,587,583.0,1,3,3.0,4,4,1,2.0,4
416,1605,1886,720,1558,1884,339,1402,1433,1586,842.0,1848,1517,1529,111,1520,1168,1522,1851,1528,1850,397.0,1,4,2.0,4,4,1,2.0,4
916,290,1179,732,767,1927,1682,714,1936,938,1935.0,1971,272,1253,1752,1255,1757,424,304,1758,1768,1967.0,1,4,2.0,4,5,1,2.0,3
590,851,89,239,1740,1960,1590,1436,1284,1230,1597.0,1877,1161,1873,1426,1393,1874,1392,1389,1700,1698,1177.0,1,4,2.0,4,4,1,2.0,4
1621,704,812,958,1249,1455,1747,1246,528,1458,903.0,1156,1691,1030,1370,1687,1033,497,154,860,1358,1869.0,1,4,2.0,4,5,1,2.0,3
1451,1657,1111,1080,293,1634,395,11,1630,1164,1805.0,453,684,384,706,1014,734,1201,1199,519,670,1196.0,1,5,3.0,2,3,1,1.0,6
3,13,14,1651,1,1132,1502,1297,1835,1659,1831.0,1848,1517,1529,111,1168,1520,1522,1851,1528,1850,397.0,1,6,2.0,2,4,1,2.0,4
954,125,1670,953,1664,328,108,1672,228,1240,1236.0,453,684,706,1199,1014,734,670,1201,384,519,1196.0,1,5,2.0,3,3,1,1.0,6
181,416,1886,720,1558,1402,1884,1702,1605,1447,842.0,1877,1548,1161,1873,1551,1393,1392,1389,1700,1698,1426.0,1,4,2.0,4,4,1,2.0,4
878,1890,1896,757,1903,1991,1894,1898,1899,960,1371.0,272,1253,1255,1752,1757,1754,424,304,1758,1768,1967.0,1,5,2.0,3,5,1,2.0,3
732,767,1927,1682,938,1936,1935,916,1179,714,290.0,1156,1869,1691,1030,1370,1033,497,154,1687,860,1358.0,1,5,2.0,3,5,1,2.0,3
320,931,1950,937,1218,349,488,326,1070,1949,1587.0,1270,1565,146,1706,669,1560,694,1412,1190,1045,1909.0,1,4,2.0,4,4,1,3.0,3
590,851,89,239,1736,1740,1590,1960,1597,1230,1593.0,1282,1277,566,973,1628,557,776,78,1978,587,583.0,1,4,1.0,5,4,1,2.0,4
1621,958,1623,704,1243,528,1748,1246,1749,1458,903.0,915,1709,1595,1208,1710,569,1335,1920,1575,1711,1571.0,1,4,2.0,4,5,1,1.0,4
1451,1111,1080,293,1634,1657,395,1632,11,1630,1164.0,576,1719,407,725,1580,321,336,1940,335,921,331.0,1,5,2.0,3,4,1,2.0,4
72,406,1308,338,1987,252,1361,1839,23,153,848.0,1533,1148,1145,1989,107,1862,1676,1356,1413,1355,1149.0,1,3,2.0,5,4,1,2.0,4
1270,146,669,1560,694,886,1411,1412,1190,1045,1909.0,1059,732,1928,767,1927,938,1935,916,1179,1936,714.0,1,4,3.0,3,5,1,1.0,4
576,1719,1718,725,321,1210,1429,922,1940,332,331.0,423,125,1670,953,1672,328,108,228,1668,1240,1236.0,1,3,2.0,5,4,1,2.0,4
272,1757,1754,1253,424,1255,304,1445,1768,1967,1972.0,1657,1451,1080,293,800,1634,741,395,1632,11,1164.0,1,5,2.0,3,3,1,2.0,5
1282,973,566,1628,557,776,462,78,1978,587,583.0,181,416,1886,720,1558,1884,339,1402,1447,1586,842.0,1,4,2.0,4,3,1,2.0,5
1848,1517,1529,111,1520,1168,1522,1516,1851,1528,1850.0,958,1623,704,1243,1748,1747,1246,1749,1458,812,903.0,1,4,2.0,4,4,1,2.0,4
1533,1148,1145,1989,107,1676,70,1355,1151,1413,1149.0,19,13,1831,1650,1835,14,1651,1,1502,1297,1659.0,1,5,2.0,3,6,1,2.0,2
1691,1030,1370,1687,1033,497,154,860,1358,1156,1869.0,851,89,239,1736,1740,1351,1590,721,1230,1593,1960.0,1,5,2.0,3,4,1,2.0,4
1545,1391,1178,1161,1873,1393,1392,1389,1877,1698,1700.0,1951,320,1218,349,488,326,1952,1070,1949,359,1222.0,1,3,3.0,4,4,1,3.0,3
453,684,706,1014,734,670,1201,1569,384,519,1196.0,878,1890,1899,757,586,1991,1894,1898,960,1371,1903.0,1,3,1.0,6,5,1,2.0,3
915,1709,1595,1208,1710,1335,1920,1575,908,1711,1571.0,406,1308,1987,847,338,1839,35,252,1361,23,153.0,1,5,2.0,3,3,1,2.0,5
954,125,1670,932,953,102,108,228,1240,1236,187.0,1494,1497,1650,19,13,14,1,1297,1835,1836,1659.0,1,5,2.0,3,5,1,2.0,3
1691,1030,1370,1687,497,154,860,1358,1869,1033,1688.0,1270,146,669,1560,694,886,1412,1190,1407,1045,1082.0,1,5,2.0,3,4,1,3.0,3
878,1890,1899,757,1896,1991,884,1894,1898,960,1371.0,72,406,1308,338,153,1987,252,848,1361,1839,23.0,1,5,2.0,3,3,1,2.0,5
453,684,706,1199,1014,734,670,1201,384,519,1196.0,958,903,1623,704,1243,1748,1747,1246,1621,1749,1458.0,1,3,1.0,6,4,1,2.0,4
915,1570,908,1709,1595,569,1575,1335,1920,1208,1571.0,1059,732,1928,767,1927,938,1936,27,916,1179,714.0,1,5,2.0,3,4,1,2.0,4
576,1719,1210,1580,725,321,336,332,1940,335,331.0,272,1253,1445,1255,1972,1757,1754,424,304,1768,1967.0,1,4,2.0,4,5,1,2.0,3
1070,151,1218,349,1951,245,1952,1949,359,326,1222.0,416,1886,720,1558,1701,1586,339,1402,1884,1447,842.0,1,4,3.0,3,3,1,2.0,5
590,851,1960,89,239,1736,1740,1351,1230,1597,87.0,1533,1148,1989,107,70,1676,1677,1413,1356,1147,1149.0,1,4,3.0,3,6,1,2.0,2
1545,1391,1877,1161,1873,1426,1178,1393,1392,1553,1698.0,1848,1850,1517,111,1520,1528,1851,1168,1522,1855,397.0,1,3,3.0,4,4,1,2.0,4
1464,1277,973,880,462,1628,557,776,78,1978,583.0,741,395,1632,11,1451,1111,1805,1080,1634,293,800.0,1,4,3.0,3,3,1,2.0,5
